id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1412,"Pull & Bear Jakke","Fit: størrelse Large, på en mannequin svarene til en person på 180cm 
Stand: God 
Farve: Brun",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08565-1-scaled-e1639085299638.jpg,https://43visuals.dk/eksamensprojekt/vare/jakke/,"Alle varer, Jakker, Mænd","Røde kors genbrug",100SEK,in stock,wc_post_id_1412,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100SEK,new,published,,,,,,,
wc_post_id_1411,"Jack & Jones bukser","Fit: størrelse 34x32 
Stand: God 
Farve: Blå",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08573-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/jack-jones-bukser/,"Alle varer, Bukser, Mænd","Røde kors genbrug",70SEK,in stock,wc_post_id_1411,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70SEK,new,published,,,,,,,
wc_post_id_1410,"Monki T-shirt","Fit: størrelse Medium, på en mannequin svarene til en person på 170 
Stand: God 
Farve: Sort",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08507-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/monki-t-shirt/,"Alle varer, Kvinder, T-shirts","Røde kors genbrug",30SEK,in stock,wc_post_id_1410,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30SEK,new,published,,,,,,,
wc_post_id_1408,"Marlboro turtleneck","Marlboro turtleneck",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08514-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/marlboro-turtleneck/,"Alle varer, Mænd, Trøjer","Røde kors genbrug",40SEK,in stock,wc_post_id_1408,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40SEK,new,published,,,,,,,
wc_post_id_1406,"H&M T-shirt","H&M T-shirt",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08549-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/hm-t-shirt/,"Alle varer, Mænd, T-shirts","Røde kors genbrug",30SEK,in stock,wc_post_id_1406,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30SEK,new,published,,,,,,,
wc_post_id_1320,"H&M Hue","Fit: Størrelse normal voksen 
Stand: God 
Farve: Multifarvet",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08526-1-scaled-e1639607409496.jpg,https://43visuals.dk/eksamensprojekt/vare/weekday-hue/,"Alle varer, Huer, Huer, Kvinder, Mænd","Røde kors genbrug",35SEK,in stock,wc_post_id_1320,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35SEK,new,published,,,,,,,
wc_post_id_1316,"Selected Homme hue","Fit: Størrelse normal voksen 
Stand: God 
Farve: Multifarvet",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08521-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/champions-t-shirt/,"Alle varer, Huer, Huer, Kvinder, Mænd","Røde kors genbrug",40SEK,in stock,wc_post_id_1316,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40SEK,new,published,,,,,,,
wc_post_id_1314,"Geographical Norway Jakke","Fit: størrelse Medium, på en mannequin svarene til en person på 180cm 
Stand: God 
Farve: Grå",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08553-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/bukser/,"Alle varer, Jakker, Jakker, Kvinder, Mænd","Røde kors genbrug",100SEK,in stock,wc_post_id_1314,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100SEK,new,published,,,,,,,
wc_post_id_1307,"Anna Field Sko","Fit: 40 
Stand: God 
Farve: Mat pink",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08578-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/haettetroeje/,"Alle varer, Kvinder, Sko","Røde kors genbrug",50SEK,in stock,wc_post_id_1307,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50SEK,new,published,,,,,,,
wc_post_id_100,"Zara T-shirt","Fit: størrelse Large, på en mannequin svarene til en person på 170cm 
Stand: God 
Farve: Blå",https://43visuals.dk/eksamensprojekt/wp-content/uploads/2021/11/DSC08509-1-scaled.jpg,https://43visuals.dk/eksamensprojekt/vare/armor-twist/,"Alle varer, Kvinder, T-shirts, T-shirts","Røde kors genbrug",50SEK,in stock,wc_post_id_100,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50SEK,new,published,,,,,,,
